13º salário;Christmas bonus
arbitramento, arbitragem;arbitrage
arbitrariedade;arbitrariness
árbitro;forum, referee
árbitro, mediador;arbitrator
arcar com os custos;defray
arcar com prejuízos;sustain losses
área com excedente de mão-de-obra;labor-surplus area
área comercial;trading area
área de crescimento;growth area
área de financiamentos;financing area
Área de Livre Comércio das Américas - ALCA;America's Free Trade Area - AFTA
Área de Livre Comércio de Macapá e Santana - ALCMS;Macapa and Santana Free Trade Zone
área de negócios;business area
área de produtos;product area
área de vendas;sales area
Área Econômica Européia - AEE;European Economic Area - EEA
área operacional;operational area
área problemática;problem area
argumento de vendas;selling point
armadilha;pitfall
armador;shipowner
armazém;warehouse, depot
armazém alfandegado;bonded warehouse
armazenamento;storage, warehousing
armazenar;stockpile
arquivar;file
arquivar um processo, indeferir;dismiss a lawsuit or claim
arquivo;file
arquivo confidencial;confidential file
arquivo em suspenso;suspense file
arquivo-mestre;master file
arrazoado;satement of facts
arredondar;round off
arrendador;lessor
arrendamento;leasing
arrendamento com alavancagem;leveraged lease
arrendamento de bens do imobilizado equivalente a uma compra financiada;capital lease
arrendamento do tipo de venda;sales-type lease
arrendamento mercantil;commercial leasing
arrendamento operacional;operating lease
arrendamento para financiamento;financing lease
arrendatário;leaseholder
arriscar;risk
arrolar;enroll
artesanato;handicraft, hand made
artesão;artisan
aspecto;feature
assalariado;wage earner, employed for wages, staff
assembléia de acionistas;stockholders' meeting (USA), shareholders' meeting (UK)
Assembléia Geral Extraordinária de Acionistas - AGE;Extraordinary Stockholders' General Meeting (USA), Extraordinary Shareholders' General Meeting (UK) 
Assembléia Geral Ordinária de Acionistas - AGO;Ordinary Stockholders' General Meeting (USA), Ordinary Shareholders' General Meeting (UK)
asserção quanto à apresentação e divulgação;presentation and disclosure assertion
asserção quanto à avaliação;valuation assertion
asserção quanto a direitos e obrigações;rights and obligations assertion
asserção quanto à existência;existence assertion
asserção quanto à integridade;completeness assertion
asserção quanto à ocorrência;occurrence assertion
asserção quanto à quantificação;measurement assertion
asserções nas demonstrações financeiras, asserções nas demonstrações contábeis;financial statements assertions
asserções, afirmações;assertions
assessor;advisor, adviser (UK), consultant
assessor financeiro;financial advisor, consultant
assessorar;advise
assessoria estratégica;stategic advisory services
assessoria jurídica, assessoria legal;legal counsel
assinalar;earmark, indicate
assinatura;signature, subscription
assinatura da carteira de trabalho, anotação da carteira de trabalho;employee card annotation
assinatura em branco;blank signature
assistência técnica;technical assistance
assistente;assistant
assistente de auditoria;"staff accountant; audit assistant"
associação;association, membership
Associação Brasileira das Sociedades de Capita Aberto - ABRASCA;Brazilian Association of Listed Companies
Associação Brasileira de Normas Técnicas - ABNT;Brazilian Association of Technical Standards
Associação Brasileira dos Analistas do Mercado de Capitais - ABAMEC;Brazilian Association of Capital Market Analysts
associação de classe;trade association
Associação de Poupança e Empréstimo - APE;Savings and Loan Association
associação do auditor, ligação do auditor com as demonstrações financeiras/contábeis da empresa, pelo trabalho feito);auditor's association
Associação Européia de Livre Comércio - AELC;European Free Trade Association - EFTA
Associação Interamericana de Contadores - AIC;Interamerican Association of Accountants - IAA
Associação Latino-Americana de Integração - ALADI;Latin American Association for Integration
Associação Latino-Americana de Livre Comércio - ALALC;Latin American Free Trade Association - LAFTA
Associação Nacional das Instituições de Mercado Aberto - ANDIMA;National Association of Open Market Institutions, independent financial market information agency
Associação Nacional de Bancos de Investimento e Distribuidoras - ANBID;National Association of Investment Banks and Securities Dealers
Associação Nacional de Exportadores de Cereiais - ANEC;National Association of Cereal Exporters
Associação Nacional de Fabricantes de Veículos Automotores - ANFAVEA;National Association of Vehicle Manufacturers
Associação Nacional de Pesquisas Econômicas - ANPE;National Association of Economic Research
assumir;assume
assumir o escritório;take office
assunção de dívidas;assumption of debts
assunção, suposição;assumption
assunto;matter, subject
atacadista, distribuidor;jobber, wholesaler
atacado;wholesale
atas;minutes
até agora;to date
atender (às exigências, regulamentos, etc.);meet, comply with, conform to
"atendido pelo escritório de x; atender";managed out of the x office
atendimento a clientes especiais (de um banco);private banking
atento ao orçamento;budget-minded
atestado de antecedentes;criminal record, clearance certificate
atestar;attest, vouch
atinente;relevant
atividade (ramo de negócios);activity
atividade auxiliar;auxiliary activity
atividade bancária;banking, banking industry
atividade cíclica;cyclical activity
atividade com investimento intensivo em imobilizado;capital intensive activity
atividade econômica;business activity
atividade sazonal;seasonal activity
atividades da operação;business activities
atividades de banco múltiplo;multiple banking
atividades de floating;floating activities
atividades de negociações e investimentos;trading and investing activity
atividades dos bancos de investimento;investment banking
atividades fora do país, principalmente em paraísos fiscais;offshore
atividades relacionadas a financiamentos;loan servicing activity
ativo;asset
ativo a curtíssimo prazo;liquid asset
ativo a longo prazo;long-term asset
ativo cedido em garantia;pledged asset
ativo circulante;current assets, short-term assets
ativo circulante líquido;net current assets
ativo consumível;wasting asset
ativo contingente;contingent asset
ativo dado em garantia;asset backing
ativo de imposto diferido;deferred tax asset
ativo de realização imediata;quick asset
ativo depreciável;depreciable asset
ativo diferido;deferred asset
ativo disponível;available asset
ativo financeiro;financial asset
ativo fixo, ativo imobilizado;fixed asset
ativo imobilizado;"property, plant and equipment; fixed assets"
ativo indexado pela inflation;inflation indexed asset
ativo intangível;intangible asset
ativo líquido;net assets
ativo líquido básico;underlying net assets
ativo monetário;monetary asset
ativo não circulante;non-current asset
ativo nominal;nominal asset
ativo oculto;hidden asset
ativo permanente;permanent assets
ativo tangível;tangible asset
ativos arrendados;leased assets
ativos com incidência de juros;interest-bearing assets
ativos de hipotecas executadas;foreclosed assets
ativos de reserva;reserve assets
ativos gerados de receita;earning assets
ativos não contabilizados;unrecorded assets
ativos não monetários, passivos não monetários;nonmonetary assets, nonmonetary liabilities
ativos principais;major assets
ativos produtivos;productive assets
ativos sem rendimento (juros);non-performing assets
ato declaratório (normativo);declaratory act (normative)
ato dos acionistas ou dos diretores eleitos;corporate action
ato fortuito;act of God
ato normativo;regulatory act
atos ilegais praticados por empresas;illegal acts by companies
atrasado (dívida não paga no vencimento);arrears (of a debt)
atrasão comercial;sales appeal
atributos;capabilities, characteristics, attributes
atrito;friction
atual;current
atualização de sistemas;systems updating
atualização monetária;monetary restatement
atualizado;up to date, current
atuarial;actuarial
atuário;actuary
audiência;hearing
audiência de instrução;discovery hearing
auditar;audit, exam
auditor;auditor
auditor contínuo, auditor recorrente;continuing auditor
auditor externo;external auditor
auditor independente;independent auditor, independent accountant, independent public accountant (USA)
auditor interno;internal auditor
auditor precedente, auditor anterior;predecessor auditor
auditor principal;principal auditor
auditor principal (responsável pela auditoria da parte principal de um grupo de empresas);principal auditor
auditor recém-contratado;incoming auditor
auditoria administrativa;management audit
auditoria anual;annual audit
auditoria de assuntos do meio ambiente;environmental audit
auditoria de contas;audit of accounts
auditoria de escopo limitado;limited scope audit
auditoria de final de ano;year-end audit
auditoria de ínterim, auditoria intermediária;interim audit
auditoria de prevenção de poluição;pollution prevention audit
auditoria de sistema de computador;computer system audit
auditoria em conjunto (feita por mais de uma firma de auditoria, com um só parecer);joint audit
auditoria externa;external audit
auditoria independente;"independent auditing; independent public accounting (USA)"
auditoria interna;internal audit
auditoria obrigatória;statutory audit
auditoria operacional;operational audit
auditoria periódica;periodic audit
auditoria preliminar;preliminary audit
auditoria recorrente;recurring audit
auditorias simultâneas (emissão de pareceres por mais de uma firma de auditoria);simultaneous audits
auferir;earn
aumentar;increase
aumentar de valor (nos livros);write up
aumento;increase
aumento de capital;capital increase
aumento de preço;price increase
aumento de valor resultante de avaliação;appraisal increment
ausência devido à doença (empregado);sick leave
austeridade monetária;monetary stringency
autarquia;autarchy
autenticado (cópia, etc.);certified, notarized (copy, etc.)
autenticar;authenticate, notarize
autêntico;authentic, bona fide
auto de infração (fiscal);tax assessment, tax notice
auto-avaliação;self appraisal
autofinanciamento;self-financing
automação;automation
autônomo;"autonomous; freelance worker"
autoridade competente;pertinent authority
autoridade fiscal federal;governmental taxing authority
autoridade para executar;binding authority
autoridades da imigração;immigration authorities
autoridades fiscais, autoridades tributárias;tax authorities, fiscal authorities
autoridades normativas;regulatory authorities
autorização;authorization
autos de processo;case records
auto-seguro;self-insurance
auto-suficiência;self-sufficiency
autuação;additional tax assessment
auxiliar;ancillary
auxiliar de escritório;junior clerk
auxílio creche;day care center aid
auxílio-doença;sickness benefit, disability compensation
auxílio-funeral;funeral grant
auxílio-maternidade;maternity assistance
auxílio-natalidade;birth grant
aval;guarantee, aval
avaliação;appraisal, evaluation, valuation
avaliação de bens do imobilizado;appraisal of fixed assets
avaliação de cargo;job evaluation
avaliação de crédito;credit rating
avaliação de desempenho;performance evaluation, performance appraisal
avaliação de estoques;inventory valuation
avaliação de mercado;market appraisal
avaliação de risco;risk assessment
avaliação de transação de câmbio a termo, aplicando-se a taxa corrente pelo período restante;buy-back valuation
avaliação do trabalho de um especialista, avaliação do trabalho de um perito;assessing the work of an expert
avaliador;appraiser, valuer
avaliar;evaluate, appraise
avaliar novamente;reappraise
avalização do projeto;project assessment
avanço importante;break-through
avaria;damage
aventureiro;adventurer
averbar;legalize, annotate, register
avisar;advise
aviso;notice, advice
aviso de crédito;credit advice
aviso de entrega;delivery notice
aviso de remessa;remittance advice
aviso de sinistro;notico of loss, notice of claim
aviso prévio;prior notice, previous notice
baixa;write-off
baixa de item do ativo imobilizado;retirement of fixed asset items
baixar (portaria, regulamento);enact (an ordinance)
baixar, dar baixa (item);write off
baixas para despesas, retiradas, vendas (de itens do imobilizado);retirement (disposal of property and equipment)
baixo risco;low risk
balança comercial;trade balance
balança comercial favorável;favorable trade balance
balancear;"offset; balance"
balancete;trial balance
balancete de verificação;trial balance
balancete final;closing trial balance
balanço de pagamentos;balance of payments
balanço intermediário;interim balance sheet
balanço patrimonial;balance sheet
balanço patrimonial preliminar;preliminary balance sheet
balcão;counter
bancarrota;bankruptcy
banco;bank
banco agente;agent bank
Banco Central do Brasil - BACEN;Brazilian Central Bank
Banco Central Norte-Americano (EUA);Federal Reserve Bank - FED (USA)
banco comercial;commercial bank
banco correspondente;correspondent bank
banco de atacado;wholesale bank
banco de compensação;clearing bank
Banco de Exportação e Importação dos Estados Unidos - EXIMBANK;Export and Import Bank of the United States - EXIMBANK
banco de investimentos;investment bank
banco depositário;depositary bank
Banco do Nordeste do Brasil - BNB;Bank of the Northeast of Brazil - BNB
banco emissor;bank of issue
banco hipotecário;mortgage bank
Banco Interamericano de Desenvolvimento - BID;Interamerican Development Bank - IDB
Banco Internacional de Reconstrução e Desenvolvimento - BIRD;International Bank for Reconstruction and Development - IBRD
banco licenciado;licensee bank
banco múltiplo;multiple bank
Banco Nacional de Desenvolvimento Econômico e Social - BNDES;"National Bank for Economic and Social Development; Brazilian Development Bank - BNDES"
banda cambial, faixa cambial;exchange band
banqueiro;banker
barganha;bargain
barreira alfandegária;customs barrier
barreiras comerciais;trade barriers
base;"basis; ground"
base (de avaliação) de registro contábil;carrying basis
base contábil abrangente;comprehensive basis of accounting
base de custo;cost basis
base eqüitativa, base de valor justo;basis of fair value
base monetária;monetary basis
base recorrente (periódica);recurring basis
bases técnicas;technical bases
bem do imobilizado;capital asset, fixed asset
bem fungível;fungible asset
bem inativo;inactive asset, idle asset
bem infungível;non-fungible asset
bem móvel;"movable asset; chattel"
bem-conceituado;reputable
bem-conhecido;well known
bem-estabelecido;well established
bem-estar social;social welfare
bem-feito;well done
bem-informado;well informed
beneficiamento;processing
beneficiário;beneficiary
beneficiário do segurado;beneficiary of the insured
benefício;benefit
benefício adicional por morte;additional death benefit
benefício marginal;marginal benefit
benefício mínimo;minimum benefit
benefícios adicionais;fringe benefits
benefícios de aposentadoria;retirement benefits
benefícios e pagamentos diferidos (pensões);deferred benefits and payments (pension)
benefícios pós-aposentadoria;post-retirement benefits
benfeitoria;improvement
benfeitoria em propriedade arrendada;leasehold improvement
bens;effects, assets
bens alodiais;absolute title
bens de capital;capital goods
bens de consumo;consumer goods
bens de consumo duráveis;consumer durables
bens duráveis;durable goods
bens em condomínio;jointly-owned assets
bens empenhados;pledged assets
bens imóveis;property, real estate
bens não-duráveis;non-durable goods
bens semoventes;livestock
bitributação;double taxation
boa-fé;good faith
"boicote (s); boicotar (v)";boycott (n) (v)
boletim informativo;newsletter
boleto;docket, dealer's note
bolsa de empregos;employment exchange
bolsa de futuros;futures exchange
bolsa de mercadorias;commodity exchange
Bolsa de Mercadorias e Futuros - BM&F;Futures and Commodities Exchange - BM&F
bolsa de valores;stock exchange
Bolsa de Valores de São Paulo - BOVESPA;São Paulo Stock Exchange - BOVESPA
Bolsa de Valores do Rio de Janeiro - BOVERJ;Rio de Janeiro Stock Exchange - BOVERJ
bolsa educacional;educational grant
bolsas de seguros;insurance exchange
bonificação;bonus, gratuity
bonificação (advertising);agency volume bonus
bonificação em ações;stock dividend
bônus;bonus
bônus de emissão;stock warrant
bônus de subscrição;subscription bonus
Bônus do Banco Central - BBC;Central Bank Bonds
Bônus do Tesouro Nacional - BTN;Federal Treasury Bonds - BTN
Bônus do Tesouro Nacional Fiscal - BTNF;Daily Federal Treasury Bonds
box de opções ;options box
brochura;brochure
bruto;gross
burlar;bypass
burocracia;bureaucracy, redtape (informal)
"busca (s); buscar (v)";search (n) (v)
buscar opiniões;canvass, hear opinions
cabeçalho;letterhead
cabo (dólar-cabo);cable
cadastro;reference file, register
Cadastro Geral de Contribuintes - CGC;General Taxpayers' Register, Corporate Tax Registration Number - CGC
cadeia de distribuição;distribution chain
cadeia de lojas, cadeia de restaurantes;chain store, chain restaurant
caderneta de depósito em poupança;passbook (for savings account)
caducado;lapsed
caducar (patente);forfeit, lapse
caducidade;lapse
caixa;"cash; cashier"
caixa automático em banco;automatic teller machine - ATM
caixa de banco;bank teller
caixa de sugestões;suggestion box
"caixa dois, caixa ""dois""";black cash, unrecorded funds
caixa e bancos;cash and banks
Caixa Econômica Federal - CEF;Federal Savings and Loans Bank - CEF
caixa em mãos;cash in hand
caixa pequeno;petty cash
caixa-forte;strong-room
caixa-forte subterrânea;vault
calcular;"calculate; figure out"
"calcular ""por dentro"" (somar de novo ao valor de um bem, um lucro ou uma receita o valor do imposto correspondente antes deduzido)";gross up
calcular mal;miscalculate
cálculo das probabilidades;probability
cálculo do preço dos riscos de seguros;pricing of insurance risks
câmara de comércio;chamber of commerce, board of trade
câmara de compensação;clearing house
câmbio;exchange
câmbio bloqueado;blocked exchange
câmbio contratado;contracted exchange
camelô;street peddler
campo (espaço) para melhoramento;room for improvement
canal de comunicação;channels of communication
canal de distribuição;channel of distribution
cancelamento;cancellation
cancelamento;cancelling
candidato;applicant, candidate
canhoto de cheques;counterfoil
canhoto de documentos;stub
canibalizar;cannibalize
capacidade;competence
capacidade;capacity
capacidade analítica de julgamento;analytical and judgmental abilities
capacidade de endividamento;borrowing capacity
capacidade de gerar lucros;earnings capacity
capacidade de gerar receita;"earning power; profit capacity"
capacidade de julgamento;judgment
capacidade de ler e escrever;literacy
capacidade de pagamento dos clientes;customer creditworthiness
capacidade de pagar;ability to pay
capacidade exeqüível de tomar empréstimo;available borrowing power
capacidade financeira para obter crédito;creditworthiness
capacidade física operacional;physical operating capacity
capacidade ideal;ideal capacity
capacidade instalada;installed capacity
capacidade ociosa;idle capacity
capacidade operacional;operating capacity
capacidade produtiva;productive capacity
capacidade, competência;capacity
capataz, chefe de turma;foreman
capital;capital
capital autorizado;authorized capital
capital com direito a voto, capital com direito votante;voting capital, voting stock
capital contaminado;tainted capital
capital de giro líquido;net working capital
